index,title,certificate,runtime,genre,desc,rating,votes
2192,Nagamandala,null,131 min,Drama            ,A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,5.3,"3,674"
2193,Dharma Durai,U,147 min,Drama            ,The tale begins in the final days of the British Raj in India. A cohort of engineering students graduate a few months before Independence. Satyapriya and Naren are among the graduate ...                See full summary »,8.3,764
2194,Taxiwaala,Not Rated,137 min,"Comedy, Horror, Thriller            ","When a video of his mentor's murder surfaces, an investigative journalist takes action to find those responsible.",6.2,"5,233"
2195,Nikka Zaildar,U,134 min,"Comedy, Drama, Romance            ","A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.",5.4,"7,662"
2196,Happy Bhag Jayegi,U,126 min,"Comedy, Romance            ",PREMAM is a story about Sanju (Babusan) and Padmini (Prakruti).Sanju will go to any limits for Padmini. This film shows how a small mistake in a person's life can create a big problem.,6.9,178
2197,Archana 31 Not Out,U,110 min,Comedy            ,"When a businessman learns that his wife married him only for money, he hatches a plan with her ex-lover to kill her.",6.4,"3,564"
2198,Chitralahari,U,131 min,"Drama, Romance            ","A school-teacher, who forces children to share their food with him, forbids one from entering the school until he brings his own Tiffin/Lunch-box.",7.8,"7,190"
2199,Evvarikee Cheppoddu,U,133 min,Drama            ,"What's the reason for Parboni's return to her past? Will her family accept her this way? This Durga Puja, witness the drama that unfolds at the Chowdhury household as Parboni returns with a dreaded secret.",6.5,329
2200,Kamarottu Checkpost,null,null,Horror            ,Five Indians living in London find themselves thrown together when two of them are implicated for a bomb blast. An Indian lawyer enters the scene to bail them out of their predicament.,4.9,"2,164"
2201,Methagu 2,UA,109 min,Drama            ,"In this quest for sanctuary, love, and identity, a man and his uncle arrive in Hyderabad, where they capitalize on the uncle's resemblance to a local don.",4.5,624
2202,Chhatrasal,13,null,"Action, Drama, History            ","The film is an animated take on Kuch Kuch Hota Hai, and it marks the 20 year anniversary of its release.",6.2,547
2203,Velaikkaran,U,160 min,"Action, Drama, Thriller            ","Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else.",7.5,"3,435"
2204,Marudhu,UA,146 min,"Action, Drama            ","Poor Krishna Prasad and Pooja are in love and would like to marry each other. But Pooja's dad, Din Dayal, wants her to marry a wealthier man, and rejects Krishna. Krishna agrees to acquire ...                See full summary »",5.2,416
2205,The Relationship Agreement,null,77 min,"Comedy, Drama            ","Bishan loses his fortune while helping his friend Kishan in his singing career. Now successful, would Kishan return the favour?",7,"1,875"
2206,Paattu,null,null,"Drama, Romance            ","After their car breaks down in the middle of the night, seven friends find shelter and tell one another stories to kill time till dawn.",6.3,"3,573"
2207,Ini Utharam,UA,126 min,Thriller            ,"A couple, who were in a long distance relationship for 3 years, face the prospect of getting married.",8.6,"25,221"
2208,Boss,null,140 min,Action            ,Romantic drama and the dilemma of a married Indian housewife entangled with a young lover.,7.6,"1,649"
2209,Chandragupta Maurya,U,null,History            ,A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.,7.1,"3,460"
2210,Bhagwan Bachave,null,null,"Comedy, Drama, Mystery            ","An elder and younger son-in-law quarrel with each other, which causes a rift between the two 19th century families.",6.2,321
2211,Double Dhamaal,UA,138 min,"Comedy, Crime, Drama            ","An intelligent detective from Kolkata solves, without any weapons, many mysteries that remain unsolved by police.",9.2,"2,989"
2212,Paayum Puli,U,135 min,"Action, Crime, Thriller            ",Jai Mummy Di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.,3.7,986
2213,"Kya Haal, Mr. Paanchal?",PG,20 min,Comedy            ,A runaway bride promises her dying widowed friend that she will assume her identity and look after her infant child.,7.2,"1,042"
2214,Waqt,U,178 min,"Drama, Romance            ",Kunal is a teacher of science in a Christian missionary school where he is subjected to suspension from service and put into custody. Old allies Reverend Basanta Kumar Chatterjee and Anton De Souza are now facing each other in court.,7.2,47
2215,Jeeva,U,127 min,"Drama, Sport            ","The mysterious story revolves around the cult of Karuppu Swami, along with the odd and strange deaths of people - one followed by another, and events unfolding in the village of Thottakaramangalam.",9.7,817
2216,Perfume - Her Fragrance,UA,123 min,Drama            ,"The movie is about the Blossom of love, fun and lots more between the characters Siva and Sakthi. The 1st half shows the blossom of love in the mind of Siva while we find a new turn during the second half where Sakthi reciprocates it.",7.1,"1,661"
2217,Jalsaghar,U,100 min,"Drama, Music            ","Nangeli, a comrade from the so called lower caste fights against the caste discrimination where women are not allowed to wear cloth over the upper part of their body",5.5,47
2218,Aabra Ka Daabra,null,144 min,Fantasy            ,A neurotic Sri Lankan patient crashes his psychotherapist's family vacation in Kodaikanal.,7.5,"2,348"
2219,Des Mein Niklla Hoga Chand,null,42 min,"Drama, Romance            ",Sunil is convicted of murder and is on the run. But the long arm of the law and his past finally catch up with him. Can he outrun his destiny for long?,7,617
2220,Hope,UA,null,Drama            ,"When a young man from a small town decides to make it big in a city, he faces several challenges.",7.9,"2,824"
2221,Dabangg: The Animated Series,null,null,"Animation, Action, Comedy            ",Yoddha The Warrior is a Bengali action historical-romance movie of 2014. The film is a remake of 2009 Telugu blockbuster movie Magadheera featuring Ram Charan Teja and Kajal Agarwal. The ...                See full summary »,3.9,302
2222,Alone,null,null,null,Add a Plot,8,15
2223,Ezra,U,147 min,"Horror, Mystery, Thriller            ","Meera starts calling bhoomi, her bodyguard just to fool him by telling him she loves him. Problems arise when bhoomi falls in love with her not knowing who she is.",7,"7,029"
2224,Prakashan Parakkatte,U,133 min,"Comedy, Drama, Family            ","When playful and jaunty Arya is discovered with a fatal disease, she wants her girlfriend Pankhi to find a new partner.",9.6,20
2225,Doordarshan,UA,119 min,"Comedy, Drama            ","To save her mother from terminal cancer, a young girl gets herself involved with the drug trafficking mafia active in the small towns of Tamil Nadu.",7.3,"3,313"
2226,One Day: Justice Delivered,UA,124 min,"Action, Crime, Thriller            ","Sahil and Harshita, overnight end their perfect relationship of two years. But, as much as they want to move on and move away from each other, they are stuck in awkward situations put up by...                See full summary »",6.9,515
2227,Vasudha,null,null,Drama            ,"A chain-wallah from Delhi travels across India in search of his missing son, in the hopes that whoever took him, returns him unharmed.",7.4,739
2228,JL50,16,42 min,"Drama, Sci-Fi, Thriller            ","A woman finds that her neighbors are terrorists, and her husband is not who he claims to be.",5.7,"5,291"
2229,Seetha,UA,161 min,"Action, Romance            ","A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.",8.2,"15,923"
2230,Gora,UA 16+,24 min,"Comedy, Crime, Mystery            ","Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",6,"7,074"
2231,Ananya,UA,122 min,Drama            ,"A cartoonist, who detests films and movie stars, finds himself in an awkward situation when he falls in love with a film actress.",7.5,"1,941"
2232,Mirza Ghalib,null,27 min,"Short, Biography, Drama            ",Mintoo is the tale of an fearless girl but fear becomes her best friend in her journey of life where she will face the mental and physical challenges. Will she be a winner ? or fear will takeover ?,10,9
2233,Warning,null,10 min,"Short, Horror, Mystery            ","TV One's horror anthology Fear Files (formerly Fright Night Files) returns with three new terrifying tales of love, revenge, and murder - Mama's Boy, Fire and For The Love of Lockwood Too.",5.9,43
2234,Akkad Bakkad Bambey Bo,Not Rated,null,Fantasy            ,"In 1980s Bombay, a serial killer starts targeting homeless street dwellers, whilst a suspended police officer attempts to solve the case.",7.3,"3,216"
2235,King Uncle,null,171 min,"Comedy, Drama, Family            ","When his only son dies in an accident, Balraaj urges his depressed daughter-in-law to marry a man who has long loved her in silence.",5.4,"3,430"
2236,Titu Ambani,UA,116 min,Drama            ,"A larceny leads to murder and Roopesh Raghavan, a young man who has cleared police recruitment tests and awaits posting.",7.8,53
2237,Classmates,U,155 min,"Drama, Romance, Thriller            ","A newly appointed police rookie deals with corruption, romance, and brutality.",8.1,"1,809"
2238,Belashuru,U,140 min,"Drama, Family            ","The identity of a blind church pianist is uncovered. Military officer Shiva Kumar is on the run as an accused fugitive, and is attempting to take revenge against those who killed his wife.",6.1,"2,129"
2239,Amar Colony,null,75 min,Drama            ,An account of Vallbhbhai Patel's political life while India was taking first steps as an independent country.,8.1,801
2240,Winner,UA,155 min,"Action, Drama            ","Julia travels to the Indo-Burma border to perform for the troops during World War II on the insistence of her lover Billimoria, and ends up falling in love with a soldier there, Jemadar.",5.6,"4,866"
2241,Mass,UA,135 min,"Action, Drama            ","The spoiled and arrogant brother, Bali, of notorious gangster, Kali Baba, enlists in the National Cadet Corps, and wants to have his way with his fellow-students and trainer, Inder Mohan ...                See full summary »",6.5,"1,098"
2242,Honey Trap,null,30 min,Drama            ,A youngster who belongs to a royal family needs to play saviour to his villagers.,4.2,"1,859"
2243,Merry Christmas,null,null,Thriller            ,A gifted make-up artist gets entangled up in a world of crime with a psychopathic vigilante.,7.3,"2,352"
2244,Shark Tank India,U,null,Reality-TV            ,"While on a yacht trip along with this daughter, Dolly, Indian army Major Krishna Rao, observes a girl in distress and goes to rescue her. He ends up rescuing dozens of girls, who have been ...                See full summary »",5.6,357
2245,Thothapuri: Chapter 1,UA,120 min,Comedy            ,"A housewife learns that her husband is cheating on her. Thus, her quest to bring him back begins",5.7,"5,938"
2246,Dhamaal,U,136 min,"Action, Adventure, Comedy            ",a bengali housewife give a retort to her bad minded mother-in-law,6.3,85
2247,Virndavani Vairagya,null,91 min,Drama            ,"Six newly-married, diverse, honeymooning couples face marital bliss and discord, finding out more about themselves, their significant others and life in this happy-go-lucky, quirky drama.",6.1,"2,707"
2248,North 24 Kaatham,U,125 min,"Adventure, Comedy, Drama            ","Small-time sub-broker Romanchak (Naveen Kasturia) wanted his dull, run of the mill life to be ""romanchak"" but little did he know that marrying Shivani Bhatnagar (Adah Sharma) would change ...                See full summary »",6.2,564
2249,Shakuntala Devi,13,127 min,"Biography, Drama            ","A film set in 1940s India, during the country's struggle for independence. The young daughter of an English governor falls in love with a local Indian boy.",7.9,"2,673"
2250,Har Dil Jo Pyar Karega...,U,173 min,"Comedy, Drama, Musical            ",A man is presumed to have been haunted when a doll possessed by the spirit of a gangster comes along in his life.,7.8,745
2251,Maha Samudram,UA,150 min,"Action, Drama, Romance            ",Investigation story on the murder of a leading criminal lawyer in the city by an IPS officer.,3.8,208
2252,Thalaivaa,U,179 min,"Action, Crime, Drama            ","Vijayan, a lowlife, gets himself involved in a case of mistaken identity. His car gets swapped with that of two small-time crooks. With the local police, Mahesh and his team hot on their tails, a fun-filled cat-and-mouse chase ensues.",8,427
2253,An Insignificant Man,UA,96 min,"Documentary, Thriller            ",Three girls find themselves accused of attempt to murder after escaping molestation. Their only hope is an alcoholic lawyer who agrees to take up the case.,7,"11,928"
2254,Welcome to Karachi,UA,131 min,"Action, Comedy, War            ","A billionaire learns there is something money can't buy, a lower-caste couple attempts to build a new life, and a corrupt city cop finds himself far outside of the law in Nair's slyly biting triptych on class in contemporary India.",6.2,245
2255,Prem Rog,null,183 min,"Drama, Musical, Romance            ","Radhika Balan, a smart cyber-security expert, advocates the use of the technology for the good but her life is turned upside down when she falls prey to a cyber-stalking incident and her privacy gets compromised.",6.4,470
2256,Maine Dil Tujhko Diya,A,154 min,"Action, Romance            ",Kaali is hiding with her son in a witness protection programme supervised by Aniket. JinLiang escapes during his deportation which turns Kaali's peaceful life upside down and eventually she...                See full summary »,8.8,"1,770"
2257,Highway Nights,null,20 min,"Short, Drama            ","Reshma and Kumar are mysteriously haunted by each other from their past lives. When they finally meet, they instantly fall in love, but their fathers attempt to separate them.",4.8,131
2258,Aruvam,UA,128 min,"Action, Comedy, Horror            ",The son of a wealthy man works through his relationships with his brother and sister.,6.6,"3,208"
2259,Anannya Saradiya,null,null,Drama            ,"Sabu, Thaju, Ravi and others wait for their loved ones to be treated at a government hospital. Despite their sadness about loved ones, they help each other while learning from each other's lives.",7.6,"2,545"
2260,Bedurulanka 2012,null,null,Comedy            ,'Y' is a Marathi thriller explored through hyperlinked narrative. The film revolves around four parallel yet interwoven stories coinciding at times.,9.4,28
2261,Fanney Khan,UA,130 min,"Comedy, Drama, Music            ","When Norm returns to New York, he is falsely accused of a crime and must work with his pals to get the case dismissed while also protecting his kingdom in a winner-take-all hockey tournament.",3,868
2262,Vivaha Avahanam,U,128 min,"Comedy, Drama, Romance            ",A story of a girl from Ambala who has immense faith and belief in Maa Ambe. Her strong belief is what keeps her going in life and conquer all obstacles. The show portrays the journey of ...                See full summary »,6.8,46
2263,Safe,U,144 min,"Action, Crime, Thriller            ","'Swaabhimaan' is a sizzling saga of our supercharged times. Every afternoon viewers meet the most exciting people in town - Svetlana, Rishabh, Ranjana Devi, Devika, Mahen, Nishi and Ronnie....                See full summary »",6.8,157
2264,Bombay to Goa,U,132 min,"Action, Adventure, Comedy            ","After a few years, Chitra learns that her child, who was believed to be dead, is alive but is suffering from a mental illness. However, her family faces many challenges while looking after her child.",8.2,"3,060"
2265,Naxalbari,A,29 min,"Action, Crime, Thriller            ","After unwittingly using his skills to obtain military secrets, a gambler is pursued by a police officer who happens to be his doppelganger.",6.4,686
2266,Haré Rama Haré Krishna,U,149 min,"Drama, Musical            ",Add a Plot,8.4,796
2267,Pizza,A,107 min,Horror            ,Vikram falls in love with three women at different stages of his life which changes him as a person until he finally meets the love of his life.,6.4,"1,524"
2268,Oppam,U,143 min,"Action, Crime, Thriller            ","Illegal is a racy legal drama that follows an idealist lawyer, Niharika Singh, taking on her powerful mentor, Janardhan Jaitley in a battle that constantly pushes the line between legal and illegal.",8.1,"16,416"
2269,Raincoat,U,117 min,"Drama, Romance            ",A non hosted horror anthology series.,7.5,745
2270,Kadaseela Biriyani,A,115 min,"Comedy, Crime, Drama            ",Two office colleagues decide to be flatmates. Then eventually fall in love with each other.,8.3,"1,591"
2271,Sundari,All,22 min,Drama            ,"Powerful people with strong political influence, leaders of the crowd, and determined law enforcement collide with one another and the universe implodes.",8.9,828
2272,Kannum Kannum Kollaiyadithaal,U,160 min,"Drama, Romance, Thriller            ",The story of legendary Kunjali Marakkar IV and his epic warfare against the Portuguese.,5.9,"9,058"
2273,Indian,UA,185 min,"Action, Drama, Thriller            ",The series focuses on the rise and fall of Mughal Empire through generations from Babur to Aurangzeb.,4.6,"17,004"
2274,Laaga Chunari Mein Daag: Journey of a Woman,UA,122 min,"Drama, Family, Romance            ","An inspirational survival story of Deepika Kumari who, as a girl born on the roadside to abject poverty in rural India, went in search of food, stumbled upon archery, and within 4 years became the Number One archer in the World.",7.1,503
2275,NGK,U,148 min,"Action, Drama            ",A silent movie about an unemployed young man.,8.6,"3,645"
2276,Amavas,A,134 min,"Horror, Thriller            ","A secret agent who is posing as an insurance salesman tries to find an assassin, while also trying to juggle three women.",7,916
2277,Ek Chalis Ki Last Local,A,143 min,"Adventure, Comedy, Crime            ","Nachiappan and Parvati married against their parents' wishes. In a few years, their daughter, Janani, was born. They live as a joint family with Parvathi's brother Tiruvengadam and his wife, Padmavathy, who have two children of their own.",8.6,53
2278,Siskiyaan,UA,125 min,"Drama, Thriller            ","Sleevachan gets married in hopes of having someone to care for his aging mother. He is, however, oblivious of the idiosyncrasies of a relationship. Trouble comes soon after he takes matter to his own hands.",7.5,"1,971"
2279,Rana Naidu,18,null,"Action, Crime, Drama            ","Ghawre Bairey Aaj is inspired by Rabindranath Tagore's novel 'Ghawre Bairey' (Home and the World) and is a contemporary retelling of love triangle involving Tagore's characters Nikhilesh, Sandip and Bimala.",6.3,366
2280,Gandharwa,UA,131 min,"Action, Drama, Thriller            ","In a tragic accident, Kathiravan loses his wife and his left leg. A few years later he decides to get a prosthetic leg with the compensation amount. Kathiravan's life gets more complicated when his daughter Magizh gets hospitalized.",6.2,200
2281,Family 420,null,70 min,"Action, Comedy, Crime            ",Badava Rascal is a romantic comedy entertainer movie directed by Shankar and produced by Dhananjay . The movie cast includes Daali Dhananjay and Amrutha Iyengar in the main lead roles while Vasuki Vaibhav scored music.,7.5,"1,644"
2282,Raja Ki Aayegi Baraat,null,30 min,Family            ,Badava Rascal is a romantic comedy entertainer movie directed by Shankar and produced by Dhananjay . The movie cast includes Daali Dhananjay and Amrutha Iyengar in the main lead roles while Vasuki Vaibhav scored music.,7.5,"1,644"
2283,Pataakha,UA,134 min,"Action, Comedy, Drama            ","Googly is a Kannada romantic comedy directed by Pawan Wadeyar. The film won multiple nominations at the 3rd South Indian International Movie Awards. Sharath leads a carefree life, meets ...                See full summary »",7.5,"2,803"
2284,Virata Parvam,UA,151 min,"Action, Drama            ",Kanchu Kanakam is a brand ambassador for all the Vaivaka crimes happening in Vaivaka. ACP Paidipati Siva Sankar tries to spoil Kanakam's plans and also investigates Ganesh's murder.,7.3,"1,960"
2285,Guru Sishyaru,U,161 min,"Drama, Sport            ","Challenged to compose 100 songs before he can marry the girl he loves, a tortured but passionate singer-songwriter embarks on a poignant musical journey.",6.5,"2,305"
2286,Gabbar Is Back,UA,128 min,"Action, Crime, Drama            ","Ashok is the guy people turn to for love advice. He helps Raja succeed in wooing the girl he loves, only to realise later that the she is none other than Uma, the girl he himself is in love with.",7.7,"2,200"
2287,Oru Kal Oru Kannadi,U,166 min,"Comedy, Romance            ","Indian Naval commander Nanavati returns home to find about his wife's affair. Jealousy leads to a murder that sparks a nationwide drama. When people, media and politics get into a war of opinions, it turns into a case that divided India.",7.1,"3,656"
2288,Wrong Number,Not Rated,12 min,"Short, Drama            ","On Air with AIB is topical news comedy show that aims to find comedy in tragedy. Hosted by Rohan Joshi, Tanmay Bhat, Ashish Shakya and Gursimran Khamba, the show will feature interviews, ...                See full summary »",8.3,"1,519"
2289,Tahqiqaat,null,139 min,"Crime, Mystery            ",A small-town criminal constantly clashes with his strict school headmaster father at the expense of their family lives.,8.6,"5,861"
2290,Baked,UA 13+,23 min,Comedy            ,"A saga of love as a man turns rebellious and goes against his family and society to protect his love, a prostitute from evil.",5.9,"1,693"
2291,Kyo Kii... Main Jhuth Nahin Bolta,UA,131 min,"Action, Comedy, Drama            ","In this melodrama, a poverty-stricken woman raises her sons through many trials and tribulations. But no matter the struggles, she always sticks to her own moral code.",7.8,"9,445"
2292,Kandukondain Kandukondain,U,151 min,"Drama, Romance            ","The movie chronicles the life of Khadeeja, a married Muslim woman confined within the four walls of the household, forced to conceal her desires in the name of religious and societal norms.",7.3,"1,098"
2293,Raja Natwarlal,UA,141 min,"Crime, Thriller            ","Inspired by true events - 'Ek Thi Begum', is the untold revenge story of Ashraf a.k.a Sapna.",8.7,"6,331"
2294,Kick,UA,155 min,"Action, Comedy, Crime            ",A couple elopes to get married and set up home hoping that just love will do the trick - but that's just the beginning of their story.,6.8,"7,292"
2295,Toofan,U,174 min,"Action, Crime            ","Tells the story of Vikram (Rahul Roy), who after nearly getting killed by a cursed tiger starts to transform into a tiger himself every fullmoon and hunts for prey.",5.6,598
2296,Buddha in a Traffic Jam,A,114 min,"Crime, Thriller            ",Suraj Singh (Anil Kapoor) is in love with the beautiful and wealthy Komal (Karisma Kapoor). They dream of their perfect family together but her arrogant father Yashpal Chaudhary (Amrish ...                See full summary »,4.8,"1,000"
2297,God Bless You,null,120 min,"Comedy, Thriller            ","A Hindi feature film set in the lower depths of Bombay's ""C"" grade film industry. Miss Lovely follows the devastating story of two brothers who produce sleazy horror films in the mid-1980s.",7.8,"12,655"
2298,Aani Kay Hava,null,22 min,"Comedy, Romance            ",A English spice baron settles in South India during the waning years of the Raj.,6.5,"2,116"
2299,Ardab Mutiyaran,UA,138 min,Drama            ,"A wall creates perturbation between two factions of a political party. Kaali and his buddy Anbu, who is a political aspirant, get embroiled in this brutal political rivalry.",7.9,"4,485"
2300,Tanav,null,null,Drama            ,"After his sister and some other women are found mysteriously impregnated, a young man sets out to find the perpetrator.",6.4,"1,236"
2301,Matto Ki Saikil,U,95 min,Drama            ,A middle-class man from Mathura finds himself torn between his dead wife's ghost and sexy second wife.,6.8,325
2302,Dostana,null,152 min,"Action, Crime, Drama            ","Arjun chooses the 'Boyfriend for Hire' profession and girls go crazy to hire him. He's hired by a lovely girl, Divya, who mesmerizes him. Does Arjun solve her problem? Or will she become a threat to his profession?",9.1,"1,056"
2303,Kaalia,U,157 min,"Action, Drama            ","Set in India, Shava Ni Girhari Lal is a Punjabi Movie that is full of comedy, love, joyful and seriousness.",5.3,491
2304,Sonu Nigam Feat. Milind Soman: Is Kadar Pyar Hai,null,5 min,"Short, Music, Romance            ",An orphan makes sacrifices for the family who took him in but subsequently faces humiliation and homelessness.,4.8,134
2305,Shudhu Tomari Jonyo,U,149 min,"Drama, Romance            ","Aaditya, who has a unique syndrome, falls in love with Abhinaya and marries her. While on their honeymoon in Manali, their life takes a turn. Stuck in the coldest place on earth, will they fight to survive?",6.6,255
2306,Teeja Punjab,UA,139 min,"Drama, Romance            ","""Love the glorious mess that you are!"". Introducing Isha Sanghvi and her Imperfect world. Watch her chase the perfect life while the universe has other plans, cause perfect is sooo boring.",8.9,66
2307,Thalapathi,UA,157 min,"Action, Crime, Drama            ",A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,5.5,"1,825"
2308,Kaala,null,162 min,"Action, Drama            ",Three friends in an engineering college find out that campus placements are about to begin. Will they get placed ?,8.9,506
2309,Parampara,A,50 min,"Action, Crime, Drama            ","Ajay Chandra, a hard working and ambitious young man, who dreams of bigger things than a small job. He has dreams of starting his own business. One day he meets Aruna at a friends wedding ...                See full summary »",7,322
2310,The Devil Inside,A,null,Drama            ,"The descendants of two men who betrayed a royal family centuries ago are caught up in events that involve ghosts, revenge and kidnapping.",3.2,299
2311,Kuttram 23,UA,151 min,"Action, Crime, Thriller            ","Kansa, the evil king of Mathura, returns to Earth as Kanishk to finally conquer and reign supreme over the land. Masking his cruel intentions under the disguise of a great humanitarian and ...                See full summary »",6,280
2312,Barot House,U/A,89 min,"Mystery, Thriller            ",Follows the love story of a boy and a girl.,6.3,"2,065"
2313,BB Ki Vines,Not Rated,null,Comedy            ,An unemployed small-town man defies all odds and naysayers and starts his own garment business.,6.8,"8,589"
2314,Fiza,null,170 min,"Crime, Drama, Romance            ","A small village in the northern part of Kerala is getting ready to witness the football World Cup. The life of a nine-year-old boy, an ardent football fan, is transformed when an unexpected guest arrives in his life.",9.3,502
2315,Rooting for Roona,null,40 min,"Documentary, Short, Drama            ","In a remote village, four brothers Yogi, Nandu, Jinu and Balli are married to the same woman, Bhoomi. All have physical relationship with her and she has a son, Anshu. But, nobody knows who...                See full summary »",5,117
2316,Thamizhan,UA,162 min,"Action, Drama            ",A contemporary story of 3 friends discovering a new world set against the larger than life New York City. But one day the world around them changed.,6.8,"11,642"
2317,Saagar,U,186 min,"Drama, Romance            ","Prem, the younger prince of the Kingdom of Khazaag, born in an auspicious astrological time to be the future King goes through his biggest obstacle in life, Geet, his only love.",7.9,"2,591"
2318,Pulikkuthi Pandi,UA,152 min,"Action, Drama            ","A decade later, memories of hostel days, friendship, and betrayal move Orko to start a journey to reunite with his old mates.",7.2,45
2319,Mubarakan,UA,156 min,"Comedy, Romance            ","Two tyrant brothers Amarpal Singh and Samarpal Singh who have ruled the land on their own terms for more than three decades, cross path with a young boy Ajit Yadav who happens to be the son...                See full summary »",6.2,70
2320,Barroz: Nidhi Kaakkum Bootham,null,null,"Action, Adventure, Fantasy            ",A man goes through all kinds of action to impress the girl he is in love with a hope to marry her.,5.1,"1,695"
2321,Qubool Hai,UA,22 min,"Family, Romance            ","Rannvijay raises his half-sister, Veera, like his own child and nurtures her. However, their mother, Ratan, shows her contempt towards Veera on the outside but helps her son raise her nonetheless.",7.7,63
2322,State of Siege: Temple Attack,A,110 min,"Action, Thriller            ",Rider is a romantic action entertainer movie directed by Vijay Kumar Konda. Produced by Sunil Gowda Chandru Manoharan. The movie casts Nikhil Kumar and Kashmira Pardeshi are in the lead ...                See full summary »,5.4,465
2323,The Married Woman,18,30 min,"Drama, Romance            ","A lovable scoundrel's life is cut short when he angers the god of death; however, he still has a few tricks up his sleeve.",7.2,"4,230"
2324,Sansar,U,null,Drama            ,A tale about two siblings who revive their relationship after years of estrangement.,7.1,161
2325,Ginny Weds Sunny,13,125 min,"Comedy, Drama, Romance            ","Madhav and Anandi do their best to provide all that they can to Shankar. But when Shankar's biological parents seek custody of their son, things take a different turn.",9.2,53
2326,A1: Accused No. 1,U,109 min,"Comedy, Drama            ",Former criminals reunite after years to rescue a friend arrested by the police.,6.1,"6,473"
2327,7th Day,U,134 min,"Mystery, Thriller            ","One day Rony meets an unexpected guest Chandy and they become very close, however, Chandy does not disclose his true identity. Over time Chandy discloses his identity and introduces his daughter Santa and a lot of unexpected events follow.",4.4,877
2328,Jahaan,null,null,"Short, Drama            ","A couple's caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",5.9,431
2329,Oh Manapenne,UA 13+,140 min,"Comedy, Drama, Romance            ","Three friends Karnan (G V Prakash Kumar) a thief, Kalai (Pasanga Paandi) an ex-convict and Rocky (Nandhan Ram) a drug peddler are childhood friends who live in the government housing board ...                See full summary »",4.8,399
2330,Sathi,null,136 min,"Drama, Musical, Romance            ","Tired of their abusive husbands, three women plan and execute their murders. It is an almost-perfect plan until Pankaj Mishra, assigned to the case, realises there is more to it.",7.1,"4,820"
2331,Namak Haraam,U,146 min,Drama            ,The lives of three women spanning the late 1980s to present day and underscores the value of family in everyday life.,6.2,"3,003"
2332,Republic,UA,152 min,"Action, Drama, Thriller            ","Motu Patlu go to save Boxer's brother from Modern city from a evil Kungfu Master name Wuhan Gorrila, who has kidnapped this man to get the fourth part of a Map, which will give tell route for the Devil's heart.",7.8,16
2333,Suhaag,null,164 min,"Action, Drama, Musical            ","A tough cop is posted to a small town where an evil businessman reigns like a tyrant. When the cop recognizes the businessman as his father's murderer, it becomes personal.",6.2,155
2334,Pukar,UA,176 min,"Action, Drama, Romance            ","An aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from culture to start a tea business.",3.6,"2,158"
2335,Yeh Jo Hai Zindagi,null,null,Comedy            ,"Sunil is home alone when the doorbell rings. The stranger at the door is the husband of Chhaya, a woman that Sunil is having an affair with. The man asks many uncomfortable questions about their affair, becoming more and more intrusive.",6.9,"1,767"
2336,Dekh Bhai Dekh: Laughter Behind Darkness,null,105 min,"Comedy, Crime, Drama            ",A married Canadian travels to India to re-unite with his estranged father and brother but faces obstacles and challenges.,5.7,"4,327"
2337,Robindronath Ekhane Kawkhono Khete Aashenni,A,null,"Crime, Thriller            ",The story revolves around a group of boys and girls who came to University to study during the 1990s. Three boys and one girl were batch mates whereas one boy and one girl were senior to ...                See full summary »,6,25
2338,Jatt & Juliet 2,U,140 min,"Comedy, Romance            ",An impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.,7.9,"4,351"
2339,Love Per Square Foot,UA,133 min,"Comedy, Romance            ","A man faces a dilemma after he accidentally kills his lover's fiancee and hides this secret from her, not knowing that it may create a rift in their lives.",4.8,"1,790"
2340,Yatra,U,127 min,"Biography, Drama, History            ",A psychological thriller that revolves around Shaji who faces an intriguing conflict with the many layered shades of human behavior.,6.7,"3,740"
2341,Race,A,149 min,"Action, Crime, Drama            ","Story of Rani Lakshmibai, one of the leading figures of the Indian Rebellion of 1857, and her resistance to the British Rule.",6.4,"15,664"
2342,Jai Ho,UA,135 min,"Action, Drama            ","A young woman is blessed with a beautiful voice but is restrained to sing due to the society where she lives in. Even her new husband warns her that if she tries to sing again, he will drop her back at her parent's house.",6.8,573
2343,Happy Ending,UA,135 min,"Comedy, Romance            ",A love tale of a non-expressive couple who happens to fall in love with each other unraveling the hurdles on their paths and what choices they make and the consequences that await in ending up the unexpected situations.,6.9,688
2344,Satyakam,U,175 min,Drama            ,"The setting of the music video is a school talent event, beginning with the training session and then the event itself.",9.7,77
